nm,HL,LL,HL_UB,HL_LB,LL_UB,LL_LB
505,1.48E-09,2.74E-09,1.52116E-09,1.43818E-09,2.93602E-09,2.54481E-09
506,1.45E-09,2.67E-09,1.48738E-09,1.40566E-09,2.85882E-09,2.48823E-09
507,1.40E-09,2.65E-09,1.4437E-09,1.36313E-09,2.83036E-09,2.46733E-09
508,1.36E-09,2.62E-09,1.40021E-09,1.32067E-09,2.80192E-09,2.44644E-09
509,1.31E-09,2.51E-09,1.35568E-09,1.27159E-09,2.69391E-09,2.3313E-09
510,1.27E-09,2.40E-09,1.31296E-09,1.22103E-09,2.58628E-09,2.21629E-09
511,1.23E-09,2.40E-09,1.27636E-09,1.19259E-09,2.59232E-09,2.20216E-09
512,1.20E-09,2.39E-09,1.2401E-09,1.16396E-09,2.59844E-09,2.18795E-09
513,1.15E-09,2.25E-09,1.19172E-09,1.11312E-09,2.44528E-09,2.05701E-09
514,1.10E-09,2.11E-09,1.14464E-09,1.06134E-09,2.29262E-09,1.92643E-09
515,1.05E-09,2.04E-09,1.08497E-09,1.01643E-09,2.23017E-09,1.85304E-09
516,9.99E-10,1.97E-09,1.02976E-09,9.67489E-10,2.16788E-09,1.77968E-09
517,9.74E-10,1.90E-09,1.00899E-09,9.38608E-10,2.06497E-09,1.7323E-09
518,9.49E-10,1.82E-09,9.94526E-10,9.03544E-10,1.96261E-09,1.68465E-09
519,9.17E-10,1.78E-09,9.61114E-10,8.73237E-10,1.91293E-09,1.64011E-09
520,8.85E-10,1.73E-09,9.28985E-10,8.41806E-10,1.86331E-09,1.59562E-09
521,8.66E-10,1.73E-09,9.05451E-10,8.25899E-10,1.87306E-09,1.58304E-09
522,8.46E-10,1.73E-09,8.82132E-10,8.09842E-10,1.88292E-09,1.57035E-09
523,8.16E-10,1.66E-09,8.51459E-10,7.80396E-10,1.81422E-09,1.50314E-09
524,7.86E-10,1.59E-09,8.2131E-10,7.50569E-10,1.74564E-09,1.436E-09
525,7.57E-10,1.55E-09,7.88677E-10,7.25966E-10,1.71093E-09,1.38767E-09
526,7.29E-10,1.51E-09,7.58518E-10,6.99033E-10,1.67631E-09,1.33933E-09
527,7.04E-10,1.48E-09,7.35312E-10,6.72207E-10,1.63132E-09,1.32178E-09
528,6.79E-10,1.45E-09,7.13941E-10,6.43655E-10,1.58643E-09,1.30419E-09
529,6.72E-10,1.46E-09,7.00087E-10,6.44369E-10,1.59638E-09,1.32499E-09
530,6.66E-10,1.48E-09,6.8815E-10,6.43185E-10,1.60636E-09,1.34577E-09
531,6.68E-10,1.45E-09,6.95506E-10,6.4145E-10,1.5932E-09,1.31003E-09
532,6.71E-10,1.43E-09,7.03616E-10,6.38967E-10,1.58016E-09,1.27419E-09
533,6.57E-10,1.47E-09,6.91584E-10,6.23386E-10,1.60324E-09,1.33607E-09
534,6.44E-10,1.51E-09,6.79941E-10,6.07448E-10,1.62678E-09,1.39759E-09
535,6.38E-10,1.53E-09,6.73098E-10,6.02371E-10,1.66259E-09,1.38965E-09
536,6.32E-10,1.54E-09,6.66325E-10,5.9723E-10,1.69878E-09,1.38134E-09
537,6.37E-10,1.54E-09,6.68426E-10,6.05826E-10,1.6883E-09,1.39619E-09
538,6.42E-10,1.54E-09,6.71088E-10,6.13866E-10,1.67794E-09,1.41094E-09
539,6.37E-10,1.53E-09,6.64653E-10,6.08793E-10,1.66066E-09,1.40927E-09
540,6.31E-10,1.53E-09,6.59431E-10,6.02516E-10,1.64344E-09,1.40756E-09
541,6.15E-10,1.55E-09,6.43058E-10,5.86667E-10,1.67014E-09,1.42681E-09
542,5.99E-10,1.57E-09,6.27515E-10,5.70032E-10,1.69686E-09,1.44607E-09
543,6.09E-10,1.61E-09,6.36108E-10,5.81468E-10,1.75254E-09,1.47542E-09
544,6.19E-10,1.66E-09,6.45633E-10,5.9199E-10,1.80836E-09,1.50471E-09
545,6.26E-10,1.62E-09,6.54141E-10,5.97657E-10,1.75557E-09,1.47989E-09
546,6.33E-10,1.58E-09,6.63421E-10,6.02565E-10,1.70294E-09,1.45497E-09
547,6.36E-10,1.64E-09,6.67049E-10,6.03973E-10,1.76862E-09,1.51134E-09
548,6.38E-10,1.70E-09,6.70909E-10,6.05152E-10,1.83439E-09,1.56778E-09
549,6.40E-10,1.76E-09,6.67619E-10,6.13271E-10,1.88359E-09,1.63186E-09
550,6.43E-10,1.81E-09,6.64534E-10,6.21191E-10,1.93304E-09,1.69584E-09
551,6.59E-10,1.81E-09,6.87326E-10,6.30855E-10,1.92476E-09,1.69689E-09
552,6.75E-10,1.81E-09,7.11762E-10,6.3893E-10,1.91652E-09,1.69789E-09
